video_filename,question_id,prompt_en,target_sentence_it,tokens_correct_order,choices_pool,distractors
Italian_video_2.txt,02-02,Translate to Italian: From the Janiculum you can see Saint Peter's dome.,Dal Gianicolo si vede la cupola di San Pietro,Dal|Gianicolo|si|vede|la|cupola|di|San|Pietro,mangiamo|le|di|Gianicolo|Pietro|si|vede|mangiando|mangiata|San|la|cupola|Dal,mangiamo|le|mangiando|mangiata
Italian_video_2.txt,02-03,Translate to Italian: Rome is a complex and beautiful city.,Roma è una città complessa e bellissima,Roma|è|una|città|complessa|e|bellissima,complessa|è|un|mangiata|bellissima|Roma|mangiando|città|e|una|mangiamo,mangiata|mangiando|un|mangiamo
Italian_video_2.txt,02-04,Translate to Italian: North Rome is wealthier than south Rome.,Roma nord è più benestante di Roma sud,Roma|nord|è|più|benestante|di|Roma|sud,mangiamo|più|sud|Roma|mangiata|mangia|nord|di|Roma|benestante|mangiando|è,mangiamo|mangia|mangiando|mangiata
Italian_video_2.txt,02-05,Translate to Italian: In Eur there is a very tall skyscraper.,All'Eur c'è un grattacielo molto alto,All'Eur|c'è|un|grattacielo|molto|alto,molto|uno|un|grattacielo|c'è|alto|All'Eur|mangiando|mangiamo|mangiata,mangiamo|uno|mangiando|mangiata
Italian_video_2.txt,02-06,Translate to Italian: Rome has few skyscrapers in the historic center.,Roma ha poche grattacieli nel centro storico,Roma|ha|poche|grattacieli|nel|centro|storico,mangia|mangiata|storico|poche|ha|Roma|grattacieli|nel|mangiando|mangiamo|centro,mangiamo|mangia|mangiando|mangiata
Italian_video_2.txt,02-07,Translate to Italian: In the suburbs you find bars and families at the park.,In periferia trovi bar e famiglie al parco,In|periferia|trovi|bar|e|famiglie|al|parco,parco|bar|al|In|trovi|e|mangia|mangiata|mangiando|periferia|mangiamo|famiglie,mangiamo|mangia|mangiando|mangiata
Italian_video_2.txt,02-08,Translate to Italian: Parioli is a neighborhood in north Rome.,I Parioli sono un quartiere di Roma nord,I|Parioli|sono|un|quartiere|di|Roma|nord,mangiata|sono|mangiando|mangiamo|Parioli|nord|uno|I|Roma|quartiere|di|un,mangiamo|uno|mangiando|mangiata
Italian_video_2.txt,02-09,Translate to Italian: Citizens and tourists live different realities.,I cittadini e i turisti vivono realtà diverse,I|cittadini|e|i|turisti|vivono|realtà|diverse,gli|realtà|diverse|mangiata|mangiamo|e|I|vivono|cittadini|i|mangiando|turisti,mangiata|mangiando|gli|mangiamo
Italian_video_2.txt,02-10,Translate to Italian: Many Romans live outside the center.,Molti romani vivono fuori dal centro,Molti|romani|vivono|fuori|dal|centro,centro|dal|romani|fuori|vivono|Molti|mangiando|mangiamo|mangiata|mangia,mangiamo|mangia|mangiando|mangiata
Italian_video_3.txt,03-01,Translate to Italian: We go to see the Maradona mural.,Andiamo a vedere il murale di Maradona,Andiamo|a|vedere|il|murale|di|Maradona,lo|Andiamo|murale|il|a|mangiando|vedere|Maradona|mangiata|mangiamo|di,mangiamo|lo|mangiando|mangiata
Italian_video_3.txt,03-02,Translate to Italian: The Royal Palace of Naples is splendid.,Il Palazzo Reale di Napoli è splendido,Il|Palazzo|Reale|di|Napoli|è|splendido,mangia|mangiamo|è|Palazzo|mangiata|Napoli|di|mangiando|Il|splendido|Reale,mangiamo|mangia|mangiando|mangiata
Italian_video_3.txt,03-03,Translate to Italian: We visit Piazza del Plebiscito together.,Visitiamo Piazza del Plebiscito insieme,Visitiamo|Piazza|del|Plebiscito|insieme,Plebiscito|Plebiscita|mangiata|insieme|Plebiscendo|Visitiamo|del|Piazza|mangiando,mangiando|Plebiscendo|Plebiscita|mangiata
Italian_video_3.txt,03-04,Translate to Italian: The Toledo metro station is very beautiful.,La metro Toledo è molto bella,La|metro|Toledo|è|molto|bella,bella|metro|mangiando|Toledo|mangia|è|mangiata|molto|mangiamo|La,mangiamo|mangia|mangiando|mangiata
Italian_video_3.txt,03-05,Translate to Italian: In the Spanish Quarters there are shops and trattorias.,Nei quartieri spagnoli ci sono botteghe e trattorie,Nei|quartieri|spagnoli|ci|sono|botteghe|e|trattorie,e|Nei|quartieri|spagnoli|mangiata|mangiando|mangiamo|ci|botteghe|mangia|trattorie|sono,mangiamo|mangia|mangiando|mangiata
Italian_video_3.txt,03-06,Translate to Italian: In Naples we have breakfast at Gambrinus.,A Napoli facciamo colazione da Gambrinus,A|Napoli|facciamo|colazione|da|Gambrinus,mangiata|mangia|da|mangiando|mangiamo|Gambrinus|colazione|A|Napoli|facciamo,mangiamo|mangia|mangiando|mangiata
Italian_video_3.txt,03-07,Translate to Italian: Maradona brought many victories to Napoli.,Maradona ha portato molte vittorie al Napoli,Maradona|ha|portato|molte|vittorie|al|Napoli,molte|mangiata|vittorie|Maradona|ha|portando|Napoli|al|portato|mangiando|portata,portata|mangiando|portando|mangiata
Italian_video_3.txt,03-08,Translate to Italian: We get two cappuccinos and two sfogliatellas.,Prendiamo due cappuccini e due sfogliatelle,Prendiamo|due|cappuccini|e|due|sfogliatelle,mangiamo|cappuccini|due|mangiando|due|e|mangia|sfogliatelle|Prendiamo|mangiata,mangiamo|mangia|mangiando|mangiata
Italian_video_3.txt,03-09,Translate to Italian: We drink an Aperol spritz at the stall.,Beviamo uno spritz alla bancarella,Beviamo|uno|spritz|alla|bancarella,un|mangiata|uno|bancarella|Beviamo|alla|mangiamo|mangiando|spritz,mangiata|mangiando|un|mangiamo
Italian_video_3.txt,03-10,Translate to Italian: We walk on the seafront in Chiaia.,Passeggiamo sul lungomare di Chiaia,Passeggiamo|sul|lungomare|di|Chiaia,mangiando|mangia|mangiata|mangiamo|sul|Chiaia|lungomare|Passeggiamo|di,mangiamo|mangia|mangiando|mangiata
Italian_video_4.txt,04-01,Translate to Italian: The Upper Lazio coast is near Tuscany.,La costa dell'Alto Lazio è vicina alla Toscana,La|costa|dell'Alto|Lazio|è|vicina|alla|Toscana,vicina|mangiando|dell'Alto|Lazio|è|mangiata|La|Toscana|mangia|alla|costa|mangiamo,mangiamo|mangia|mangiando|mangiata
Italian_video_4.txt,04-02,Translate to Italian: There is a lot of traffic near Prati.,C'è molto traffico vicino a Prati,C'è|molto|traffico|vicino|a|Prati,mangiamo|mangia|C'è|a|mangiata|molto|vicino|traffico|Prati|mangiando,mangiamo|mangia|mangiando|mangiata
Italian_video_4.txt,04-03,Translate to Italian: Tomorrow we go to the sea in Lazio.,Domani andiamo al mare nel Lazio,Domani|andiamo|al|mare|nel|Lazio,nel|mangia|al|mangiamo|Lazio|Domani|mangiando|andiamo|mangiata|mare,mangiamo|mangia|mangiando|mangiata
Italian_video_4.txt,04-04,Translate to Italian: In Rome it is very hot today.,A Roma oggi fa molto caldo,A|Roma|oggi|fa|molto|caldo,molto|mangiamo|mangia|oggi|fa|caldo|Roma|mangiata|A|mangiando,mangiamo|mangia|mangiando|mangiata
Italian_video_4.txt,04-05,Translate to Italian: We go to see the fireworks at Castel Sant'Angelo.,Andiamo a vedere i fuochi a Castel Sant'Angelo,Andiamo|a|vedere|i|fuochi|a|Castel|Sant'Angelo,Castel|gli|Sant'Angelo|mangiata|mangiamo|vedere|mangiando|Andiamo|i|a|fuochi|a,mangiata|mangiando|gli|mangiamo
Italian_video_4.txt,04-06,Translate to Italian: We prepare the suitcase for the vacation.,Prepariamo la valigia per la vacanza,Prepariamo|la|valigia|per|la|vacanza,valigia|vacanza|Prepariamo|le|la|la|mangiata|mangiamo|mangiando|per,mangiamo|le|mangiando|mangiata
Italian_video_4.txt,04-07,Translate to Italian: On the beach we drink coffee and read a book.,In spiaggia beviamo caffè e leggiamo un libro,In|spiaggia|beviamo|caffè|e|leggiamo|un|libro,un|leggiamo|mangiando|uno|caffè|mangiata|mangiamo|spiaggia|libro|beviamo|e|In,mangiamo|uno|mangiando|mangiata
Italian_video_4.txt,04-08,Translate to Italian: The Girandola is an ancient fireworks show.,La Girandola è uno spettacolo pirotecnico antico,La|Girandola|è|uno|spettacolo|pirotecnico|antico,un|antico|mangiamo|La|uno|Girandola|è|spettacolo|pirotecnico|mangiando|mangiata,mangiata|mangiando|un|mangiamo
Italian_video_4.txt,04-09,Translate to Italian: Today in Rome is a holiday for Saints Peter and Paul.,Oggi a Roma è festa per i Santi Pietro e Paolo,Oggi|a|Roma|è|festa|per|i|Santi|Pietro|e|Paolo,festa|Santi|Oggi|mangiando|Pietro|gli|mangiamo|Roma|i|è|a|mangiata|per|Paolo|e,mangiata|mangiando|gli|mangiamo
Italian_video_4.txt,04-10,Translate to Italian: We take the dogs for a walk on the beach.,Portiamo i cani a passeggiare sulla spiaggia,Portiamo|i|cani|a|passeggiare|sulla|spiaggia,cani|gli|mangiando|passeggiare|a|spiaggia|mangiata|mangiamo|Portiamo|sulla|i,mangiata|mangiando|gli|mangiamo
Italian_video_5.txt,05-01,Translate to Italian: In Milan we drink a spritz before lunch.,A Milano beviamo uno spritz prima di pranzo,A|Milano|beviamo|uno|spritz|prima|di|pranzo,spritz|mangiata|mangiamo|A|Milano|prima|beviamo|di|mangiando|un|uno|pranzo,mangiata|mangiando|un|mangiamo
Italian_video_5.txt,05-02,Translate to Italian: We look at the restaurant's virtual menu.,Guardiamo il menu virtuale del ristorante,Guardiamo|il|menu|virtuale|del|ristorante,mangiando|virtuale|lo|mangiata|Guardiamo|il|menu|mangiamo|ristorante|del,mangiamo|lo|mangiando|mangiata
Italian_video_5.txt,05-03,Translate to Italian: I order tricolore paccheri with pesto and burrata.,Ordino paccheri tricolore con pesto e burrata,Ordino|paccheri|tricolore|con|pesto|e|burrata,e|mangiamo|burrata|tricolore|Ordino|mangia|mangiata|mangiando|pesto|con|paccheri,mangiamo|mangia|mangiando|mangiata
Italian_video_5.txt,05-04,Translate to Italian: Today I forgot the jacket.,Oggi ho dimenticato la giacca,Oggi|ho|dimenticato|la|giacca,giacca|dimenticando|ho|mangiata|Oggi|la|dimenticata|dimenticato|mangiando,mangiando|dimenticata|mangiata|dimenticando
Italian_video_5.txt,05-05,Translate to Italian: After lunch we get a gelato.,Dopo pranzo prendiamo un gelato,Dopo|pranzo|prendiamo|un|gelato,gelata|un|pranzo|mangiata|prendiamo|gelando|gelato|uno|Dopo,uno|gelata|mangiata|gelando
Italian_video_5.txt,05-06,Translate to Italian: The waitress asks if that is all.,La cameriera chiede se è a posto così,La|cameriera|chiede|se|è|a|posto|così,chiede|posto|è|mangiamo|La|mangiando|mangiata|se|cameriera|così|a|mangia,mangiamo|mangia|mangiando|mangiata
Italian_video_5.txt,05-07,Translate to Italian: We go to lunch at Miscusi.,Andiamo a pranzo da Miscusi,Andiamo|a|pranzo|da|Miscusi,mangiata|Andiamo|da|a|Miscusi|mangiamo|pranzo|mangiando|mangia,mangiamo|mangia|mangiando|mangiata
Italian_video_5.txt,05-08,Translate to Italian: We take two glasses of red wine.,Prendiamo due calici di vino rosso,Prendiamo|due|calici|di|vino|rosso,di|mangiata|mangiando|rosso|mangia|due|mangiamo|calici|Prendiamo|vino,mangiamo|mangia|mangiando|mangiata
Italian_video_5.txt,05-09,Translate to Italian: The corrected coffee helps digestion.,Il caffè corretto aiuta la digestione,Il|caffè|corretto|aiuta|la|digestione,aiuta|le|mangiando|digestione|corretto|mangiamo|Il|la|caffè|mangiata,mangiamo|le|mangiando|mangiata
Italian_video_5.txt,05-10,Translate to Italian: In Milan the prices are high.,A Milano i prezzi sono alti,A|Milano|i|prezzi|sono|alti,Milano|prezzi|alti|mangiando|mangiamo|gli|A|mangiata|sono|i,mangiata|mangiando|gli|mangiamo
Italian_video_6.txt,06-01,Translate to Italian: I work from Italy for a few days.,Lavoro dall'Italia per qualche giorno,Lavoro|dall'Italia|per|qualche|giorno,per|giorno|Lavoro|qualche|mangiata|dall'Italia|mangiando|mangiamo|mangia,mangiamo|mangia|mangiando|mangiata
Italian_video_6.txt,06-02,Translate to Italian: I buy a gift for my mom.,Compro un regalo per mia mamma,Compro|un|regalo|per|mia|mamma,regalo|mia|mamma|uno|un|mangiando|mangiamo|Compro|mangiata|per,mangiamo|uno|mangiando|mangiata
Italian_video_6.txt,06-03,Translate to Italian: I drink oat milk in the morning.,Bevo latte di avena al mattino,Bevo|latte|di|avena|al|mattino,mattino|latte|avena|al|Bevo|mangiando|mangia|mangiata|di|mangiamo,mangiamo|mangia|mangiando|mangiata
Italian_video_6.txt,06-04,Translate to Italian: I have breakfast with crunchy cereal.,Faccio colazione con cereali croccanti,Faccio|colazione|con|cereali|croccanti,mangiando|con|cereali|colazione|mangiata|mangia|mangiamo|Faccio|croccanti,mangiamo|mangia|mangiando|mangiata
Italian_video_6.txt,06-05,Translate to Italian: I return to Italy for my brother's birthday.,Torno in Italia per il compleanno di mio fratello,Torno|in|Italia|per|il|compleanno|di|mio|fratello,mangiata|il|mangiando|per|in|di|mio|Italia|Torno|compleanno|lo|fratello|mangiamo,mangiamo|lo|mangiando|mangiata
Italian_video_6.txt,06-06,Translate to Italian: I close the suitcase and go to the airport.,Chiudo la valigia e vado in aeroporto,Chiudo|la|valigia|e|vado|in|aeroporto,mangiamo|e|vado|mangiando|mangiata|in|le|valigia|la|aeroporto|Chiudo,mangiamo|le|mangiando|mangiata
Italian_video_6.txt,06-07,Translate to Italian: I get the new phone.,Prendo il telefono nuovo,Prendo|il|telefono|nuovo,il|lo|Prendo|telefono|mangiando|mangiamo|mangiata|nuovo,mangiamo|lo|mangiando|mangiata
Italian_video_6.txt,06-08,Translate to Italian: I use spirulina for health.,Uso la spirulina per la salute,Uso|la|spirulina|per|la|salute,per|mangiamo|salute|mangiata|mangiando|spirulina|la|Uso|le|la,mangiamo|le|mangiando|mangiata
Italian_video_6.txt,06-09,Translate to Italian: I miss my family at home.,Mi manca la mia famiglia a casa,Mi|manca|la|mia|famiglia|a|casa,mangiata|mangiamo|mangiando|famiglia|a|mia|casa|Mi|manca|le|la,mangiamo|le|mangiando|mangiata
Italian_video_6.txt,06-10,Translate to Italian: I make porridge with apple and cinnamon.,Preparo il porridge con mela e cannella,Preparo|il|porridge|con|mela|e|cannella,con|e|porridge|mela|mangiamo|lo|Preparo|il|mangiando|cannella|mangiata,mangiamo|lo|mangiando|mangiata
Italian_video_7.txt,07-01,Translate to Italian: We wait for the leavening with patience.,Aspettiamo la lievitazione con pazienza,Aspettiamo|la|lievitazione|con|pazienza,mangiando|con|la|mangiata|mangiamo|le|pazienza|lievitazione|Aspettiamo,mangiamo|le|mangiando|mangiata
Italian_video_7.txt,07-02,Translate to Italian: In Naples the pizza is soft and light.,A Napoli la pizza è soffice e leggera,A|Napoli|la|pizza|è|soffice|e|leggera,mangiata|Napoli|le|è|e|pizza|la|soffice|A|leggera|mangiamo|mangiando,mangiamo|le|mangiando|mangiata
Italian_video_7.txt,07-03,Translate to Italian: The pizza maker checks humidity and temperature.,Il pizzaiolo controlla umidità e temperatura,Il|pizzaiolo|controlla|umidità|e|temperatura,mangiata|mangiamo|pizzaiolo|temperatura|e|mangia|mangiando|Il|controlla|umidità,mangiamo|mangia|mangiando|mangiata
Italian_video_7.txt,07-04,Translate to Italian: The dough must be stretchable and soft.,L'impasto deve essere estensibile e morbido,L'impasto|deve|essere|estensibile|e|morbido,mangiata|estensibile|mangiando|mangia|L'impasto|e|morbido|deve|essere|mangiamo,mangiamo|mangia|mangiando|mangiata
Italian_video_7.txt,07-05,Translate to Italian: Oil the pan before putting the dough.,Ungi la teglia prima di mettere l'impasto,Ungi|la|teglia|prima|di|mettere|l'impasto,Ungi|mangiata|mettere|prima|l'impasto|mangiando|di|mangiamo|la|le|teglia,mangiamo|le|mangiando|mangiata
Italian_video_7.txt,07-06,Translate to Italian: We bake the pizza in the home oven.,Cuociamo la pizza nel forno di casa,Cuociamo|la|pizza|nel|forno|di|casa,mangiata|pizza|Cuociamo|le|la|nel|mangiamo|di|forno|casa|mangiando,mangiamo|le|mangiando|mangiata
Italian_video_7.txt,07-07,Translate to Italian: We make two dough balls for two pans.,Facciamo due panetti per due teglie,Facciamo|due|panetti|per|due|teglie,mangiamo|per|mangiata|due|mangia|due|Facciamo|teglie|panetti|mangiando,mangiamo|mangia|mangiando|mangiata
Italian_video_7.txt,07-08,Translate to Italian: We leave the dough to rest for many hours.,Lasciamo l'impasto a riposare per molte ore,Lasciamo|l'impasto|a|riposare|per|molte|ore,mangiamo|molte|l'impasto|Lasciamo|per|mangiando|ore|mangiata|riposare|mangia|a,mangiamo|mangia|mangiando|mangiata
Italian_video_7.txt,07-09,"Translate to Italian: We prepare the dough with flour, water, salt and yeast.",Prepariamo l'impasto con farina acqua sale e lievito,Prepariamo|l'impasto|con|farina|acqua|sale|e|lievito,con|e|l'impasto|mangiata|lievendo|mangiando|Prepariamo|farina|lievito|lievita|sale|acqua,lievita|mangiando|lievendo|mangiata
Italian_video_7.txt,07-10,Translate to Italian: We put the topping on the pizzas.,Mettiamo il condimento sulle pizze,Mettiamo|il|condimento|sulle|pizze,pizze|mangiando|il|sulle|condimento|Mettiamo|mangiamo|mangiata|lo,mangiamo|lo|mangiando|mangiata
Italian_video_8.txt,08-01,Translate to Italian: We put garlic and parsley in the oil.,Mettiamo aglio e prezzemolo nell'olio,Mettiamo|aglio|e|prezzemolo|nell'olio,mangiata|nell'olio|mangiando|mangia|prezzemolo|mangiamo|aglio|e|Mettiamo,mangiamo|mangia|mangiando|mangiata
Italian_video_8.txt,08-02,Translate to Italian: We cut the squid into thin rings.,Tagliamo i calamari a rondelle sottili,Tagliamo|i|calamari|a|rondelle|sottili,gli|mangiamo|a|rondelle|calamari|i|mangiando|sottili|Tagliamo|mangiata,mangiata|mangiando|gli|mangiamo
Italian_video_8.txt,08-03,Translate to Italian: We make an excellent pasta with little fish.,Facciamo una pasta eccezionale con poco pesce,Facciamo|una|pasta|eccezionale|con|poco|pesce,mangiata|con|pasta|un|mangiando|Facciamo|pesce|eccezionale|poco|una|mangiamo,mangiata|mangiando|un|mangiamo
Italian_video_8.txt,08-04,Translate to Italian: We cook the spaghetti in eight minutes.,Cuociamo gli spaghetti in otto minuti,Cuociamo|gli|spaghetti|in|otto|minuti,gli|spaghetti|otto|Cuociamo|mangiata|minuti|in|i|mangiando|mangiamo,i|mangiando|mangiata|mangiamo
Italian_video_8.txt,08-05,Translate to Italian: We toss the pasta to make it creamy.,Sbattiamo la pasta per farla cremosa,Sbattiamo|la|pasta|per|farla|cremosa,pasta|farla|la|Sbattiamo|mangiamo|mangiando|le|mangiata|per|cremosa,mangiamo|le|mangiando|mangiata
Italian_video_8.txt,08-06,Translate to Italian: I throw in the spaghetti and mix in the wok.,Butto gli spaghetti e mescolo nella wok,Butto|gli|spaghetti|e|mescolo|nella|wok,mangiamo|e|mangiata|mescolo|Butto|spaghetti|i|gli|wok|mangiando|nella,i|mangiando|mangiata|mangiamo
Italian_video_8.txt,08-07,Translate to Italian: We add a little chili pepper.,Aggiungiamo un po' di peperoncino,Aggiungiamo|un|po'|di|peperoncino,mangiamo|mangiando|po'|peperoncino|mangiata|Aggiungiamo|uno|un|di,mangiamo|uno|mangiando|mangiata
Italian_video_8.txt,08-08,Translate to Italian: We pop a very cold prosecco.,Stappiamo un prosecco ben ghiacciato,Stappiamo|un|prosecco|ben|ghiacciato,ghiacciato|un|ghiacciando|prosecco|uno|mangiata|ben|Stappiamo|ghiacciata,uno|ghiacciando|ghiacciata|mangiata
Italian_video_8.txt,08-09,Translate to Italian: We salt the pasta with the cooking water.,Saliamo la pasta con l'acqua di cottura,Saliamo|la|pasta|con|l'acqua|di|cottura,con|mangiamo|mangiata|la|l'acqua|pasta|Saliamo|le|mangiando|di|cottura,mangiamo|le|mangiando|mangiata
Italian_video_8.txt,08-10,Translate to Italian: It is a holiday and we cook for the family.,È festa e cuciniamo per la famiglia,È|festa|e|cuciniamo|per|la|famiglia,mangiando|mangiata|cuciniamo|per|e|festa|È|la|le|famiglia|mangiamo,mangiamo|le|mangiando|mangiata
Italian_video_9.txt,09-01,Translate to Italian: We cook the spaghetti in eight minutes.,Cuociamo gli spaghetti in otto minuti,Cuociamo|gli|spaghetti|in|otto|minuti,spaghetti|Cuociamo|i|gli|otto|mangiando|mangiata|mangiamo|minuti|in,i|mangiando|mangiata|mangiamo
Italian_video_9.txt,09-02,Translate to Italian: We make an excellent pasta with little fish.,Facciamo una pasta eccezionale con poco pesce,Facciamo|una|pasta|eccezionale|con|poco|pesce,Facciamo|pasta|una|con|pesce|mangiando|mangiamo|poco|un|mangiata|eccezionale,mangiata|mangiando|un|mangiamo
Italian_video_9.txt,09-03,Translate to Italian: We pop a very cold prosecco.,Stappiamo un prosecco ben ghiacciato,Stappiamo|un|prosecco|ben|ghiacciato,mangiata|ghiacciata|prosecco|Stappiamo|ghiacciando|ben|uno|un|ghiacciato,uno|ghiacciando|ghiacciata|mangiata
Italian_video_9.txt,09-04,Translate to Italian: I throw in the spaghetti and mix in the wok.,Butto gli spaghetti e mescolo nella wok,Butto|gli|spaghetti|e|mescolo|nella|wok,nella|mescolo|i|e|mangiamo|Butto|gli|spaghetti|mangiando|mangiata|wok,i|mangiando|mangiata|mangiamo
Italian_video_9.txt,09-05,Translate to Italian: We put garlic and parsley in the oil.,Mettiamo aglio e prezzemolo nell'olio,Mettiamo|aglio|e|prezzemolo|nell'olio,Mettiamo|mangiando|mangiamo|mangiata|aglio|e|mangia|prezzemolo|nell'olio,mangiamo|mangia|mangiando|mangiata
Italian_video_9.txt,09-06,Translate to Italian: We salt the pasta with the cooking water.,Saliamo la pasta con l'acqua di cottura,Saliamo|la|pasta|con|l'acqua|di|cottura,le|Saliamo|di|l'acqua|mangiamo|con|pasta|mangiata|cottura|mangiando|la,mangiamo|le|mangiando|mangiata
Italian_video_9.txt,09-07,Translate to Italian: We cut the squid into thin rings.,Tagliamo i calamari a rondelle sottili,Tagliamo|i|calamari|a|rondelle|sottili,sottili|Tagliamo|gli|mangiamo|a|mangiando|i|mangiata|rondelle|calamari,mangiata|mangiando|gli|mangiamo
Italian_video_9.txt,09-08,Translate to Italian: We toss the pasta to make it creamy.,Sbattiamo la pasta per farla cremosa,Sbattiamo|la|pasta|per|farla|cremosa,pasta|mangiando|mangiamo|Sbattiamo|cremosa|le|la|farla|per|mangiata,mangiamo|le|mangiando|mangiata
Italian_video_9.txt,09-09,Translate to Italian: It is a holiday and we cook for the family.,È festa e cuciniamo per la famiglia,È|festa|e|cuciniamo|per|la|famiglia,la|le|cuciniamo|famiglia|per|mangiata|festa|e|È|mangiamo|mangiando,mangiamo|le|mangiando|mangiata
Italian_video_9.txt,09-10,Translate to Italian: We add a little chili pepper.,Aggiungiamo un po' di peperoncino,Aggiungiamo|un|po'|di|peperoncino,mangiamo|peperoncino|mangiando|uno|mangiata|po'|Aggiungiamo|di|un,mangiamo|uno|mangiando|mangiata
Italian_video_10.txt,10-01,Translate to Italian: It cooks slowly for several hours.,Cuoce lentamente per alcune ore,Cuoce|lentamente|per|alcune|ore,mangia|ore|Cuoce|mangiando|lentamente|mangiata|mangiamo|alcune|per,mangiamo|mangia|mangiando|mangiata
Italian_video_10.txt,10-02,Translate to Italian: We roll the fresh pasta very thin.,Tiriamo la pasta fresca molto sottile,Tiriamo|la|pasta|fresca|molto|sottile,molto|mangiando|mangiata|la|sottile|fresca|pasta|le|Tiriamo|mangiamo,mangiamo|le|mangiando|mangiata
Italian_video_10.txt,10-03,Translate to Italian: We add wine and tomato to the ragù.,Aggiungiamo vino e pomodoro al ragù,Aggiungiamo|vino|e|pomodoro|al|ragù,mangia|Aggiungiamo|e|vino|mangiando|mangiamo|ragù|al|mangiata|pomodoro,mangiamo|mangia|mangiando|mangiata
Italian_video_10.txt,10-04,Translate to Italian: We make a smooth and fragrant béchamel.,Facciamo una besciamella liscia e profumata,Facciamo|una|besciamella|liscia|e|profumata,mangiando|profumata|mangiata|e|Facciamo|liscia|una|mangiamo|un|besciamella,mangiata|mangiando|un|mangiamo
Italian_video_10.txt,10-05,Translate to Italian: Lasagna is a dish of the tradition.,La lasagna è un piatto della tradizione,La|lasagna|è|un|piatto|della|tradizione,uno|mangiata|è|mangiando|lasagna|della|piatto|un|tradizione|mangiamo|La,mangiamo|uno|mangiando|mangiata
Italian_video_10.txt,10-06,"Translate to Italian: We prepare a ragù with carrots, celery and onion.",Prepariamo un ragù con carote sedano e cipolla,Prepariamo|un|ragù|con|carote|sedano|e|cipolla,con|ragù|Prepariamo|sedano|cipolla|e|un|uno|mangiando|mangiamo|mangiata|carote,mangiamo|uno|mangiando|mangiata
